,Title,URL
152,Arcade Archives - P.O.W.: Prisoners of War,/game/switch/arcade-archives---pow-prisoners-of-war
153,Luigi's Mansion 3: Multiplayer Pack 1 &amp; 2,/game/switch/luigis-mansion-3-multiplayer-pack-1-2
154,Baron: Fur Is Gonna Fly,/game/switch/baron-fur-is-gonna-fly
155,I am Ball,/game/switch/i-am-ball
156,Lost Horizon,/game/switch/lost-horizon
157,Syrup and the Ultimate Sweet,/game/switch/syrup-and-the-ultimate-sweet
158,Amoeba Battle - Microscopic RTS Action,/game/switch/amoeba-battle---microscopic-rts-action
159,AvoCuddle,/game/switch/avocuddle
160,The Story Goes On,/game/switch/the-story-goes-on
161,Flight Sim 2019,/game/switch/flight-sim-2019
162,Metro: 2033 Redux,/game/switch/metro-2033-redux
163,Ganbare! Super Strikers,/game/switch/ganbare!-super-strikers
164,Bloodroots,/game/switch/bloodroots
165,realMyst: Masterpiece Edition,/game/switch/realmyst-masterpiece-edition
166,Metro Redux,/game/switch/metro-redux
167,LocO-SportS,/game/switch/loco-sports
168,Depixtion,/game/switch/depixtion
169,Spartan Fist,/game/switch/spartan-fist
170,Bucket Knight,/game/switch/bucket-knight
171,STAB STAB STAB!,/game/switch/stab-stab-stab!
172,BE-A Walker,/game/switch/be-a-walker
173,Ski Sniper,/game/switch/ski-sniper
174,Rune Factory 4 Special: Another Episode,/game/switch/rune-factory-4-special-another-episode
175,Profane,/game/switch/profane
176,Skull Rogue,/game/switch/skull-rogue
177,Grizzland,/game/switch/grizzland
178,Metro: Last Light Redux,/game/switch/metro-last-light-redux
179,Frozen Friends,/game/switch/frozen-friends
180,Kemono Heroes,/game/switch/kemono-heroes
181,Boulder Dash 30th Anniversary,/game/switch/boulder-dash-30th-anniversary
182,Soul Axiom Rebooted,/game/switch/soul-axiom-rebooted
183,Hero Must Die. Again,/game/switch/hero-must-die-again
184,UnderHero,/game/switch/underhero
185,Kingdom Rush Frontiers,/game/switch/kingdom-rush-frontiers
186,Wanderlust Travel Stories,/game/switch/wanderlust-travel-stories
187,Heaven Dust,/game/switch/heaven-dust
188,Served!,/game/switch/served!
189,Dual Brain Vol.3: Shapes,/game/switch/dual-brain-vol3-shapes
190,Animated Jigsaws Collection,/game/switch/animated-jigsaws-collection
191,Voxelgram,/game/switch/voxelgram
192,MouseCraft,/game/switch/mousecraft
193,MX Nitro: Unleashed,/game/switch/mx-nitro-unleashed
194,Arcade Archives: Life Force,/game/switch/arcade-archives-life-force
195,Madoris R,/game/switch/madoris-r
196,One Finger Death Punch 2,/game/switch/one-finger-death-punch-2
197,Edgar: Bokbok in Boulzac,/game/switch/edgar-bokbok-in-boulzac
198,Vasilis,/game/switch/vasilis
199,Portal Dogs,/game/switch/portal-dogs
200,"Samurai Shodown: Character ""Mina""",/game/switch/samurai-shodown-character-mina
201,Tower Inferno,/game/switch/tower-inferno
202,"Puzzles for Toddlers &amp; Kids: Animals, Cars and more",/game/switch/puzzles-for-toddlers-kids-animals-cars-and-more
203,Infliction: Extended Cut,/game/switch/infliction-extended-cut
204,Broken Lines,/game/switch/broken-lines
205,Samurai Shodown,/game/switch/samurai-shodown
206,Rune Factory 4 Special,/game/switch/rune-factory-4-special
207,Hayfever,/game/switch/hayfever
208,Two Point Hospital,/game/switch/two-point-hospital
209,Mega Man Zero / ZX Legacy Collection,/game/switch/mega-man-zero-zx-legacy-collection
210,"Samurai Shodown: Character ""Basara""",/game/switch/samurai-shodown-character-basara
211,"Samurai Shodown: Character ""Kazuki""",/game/switch/samurai-shodown-character-kazuki
